"type","ea_kJ_mol","ln_a_unitless"
"Protein",184.9328,61.3712898146215
"Protein",104.1816,24.7305990221789
"Protein",97.9056,22.2048703778706
"Protein",238.488,NA
"Protein",163.176,NA
"Protein",175.728,NA
"Protein",430.952,NA
"Protein",598.312,NA
"Protein",460.24,NA
"spring",478.500418592453,180.209132703125
"spring",519.874556288561,195.321060928447
"spring",267.109639218478,99.7201414722028
"spring",359.115016077431,134.207111068764
"spring",357.216307798571,133.62181874961
"spring",359.226793139828,134.78510589029
"spring",318.169769276627,119.268592806708
"spring",346.398923911666,130.067760389603
"spring",284.040613907873,106.048839045861
"spring",334.030157921477,124.786897832958
"spring",299.999203103934,111.932999986098
"spring",374.071505646595,140.187878785237
"spring",558.823570832741,210.548066891373
"spring",344.356824815947,129.054893432759
"spring",319.617180193553,120.039558171193
"spring",332.580206865411,123.842291299524
"spring",392.635678762028,146.524876712381
"spring",330.451566847439,122.95692732378
"spring",357.082050752924,133.257429747852
"spring",394.010841108711,146.357305330536
"spring",385.287142812572,143.374138179025
"summer",345.871141937436,127.453037200268
"summer",331.105361424347,122.027108998901
"summer",329.332615393366,120.975030372547
"summer",394.25016115314,145.965978536768
"summer",375.62985894462,138.758890222152
"summer",290.121679464627,106.35017388342
"summer",284.72940241825,104.702642544602
"summer",320.258795941801,118.425391850098
"summer",254.44682583988,93.7012778891969
"summer",327.391194341158,120.374849683006
"summer",318.6613545989,117.406711773422
"summer",434.28923945413,160.896182041377
"summer",330.238144792708,122.340194554444
"summer",337.547018909661,125.278555073288
"summer",353.632448096342,130.771356894195
"summer",387.733002445073,141.232121576676
"summer",413.282063619092,150.77475275687
"summer",281.56881496957,102.300020604217
"summer",405.881380817722,147.843770249758
"summer",574.477230023054,210.390897592898
"summer",528.621985643555,193.696308173025
"summer",480.795587807186,175.835013098743
"summer",391.273789864526,142.842005244864
"summer",423.822533084672,154.352807241346
"summer",391.01330896702,142.687724709452
"summer",517.29375723551,189.650440544818
"summer",511.899938915499,187.389952171947
"summer",506.236165296086,185.351712164659
"summer",254.1557666532,93.216561862851
"summer",432.06098466976,158.612708178971
"fall",348.038466935091,128.515213684969
"fall",408.168702380118,151.185052177842
"fall",245.734877611677,90.2768159588224
"fall",397.549834561792,148.035239558342
"fall",348.709290878413,128.871445392724
"fall",254.926511647149,93.6702623103001
"fall",410.345073539529,151.300076804294
"fall",526.638404773683,194.578546932481
"fall",473.143993134872,176.180556625744
"fall",473.987384901848,176.871551429634
"fall",493.246603909231,183.90265958929
"fall",463.832838828691,172.792481141155
"fall",411.58194115159,150.056530450002
"fall",454.509238001066,165.95133860477
"fall",479.911013235335,175.289956941147
"fall",444.807085205264,162.517101403429
"fall",568.130202448862,207.640264322909
"fall",680.436382024635,248.451902525406
"fall",579.39626877513,211.936847260427
"fall",516.950790284917,188.659480904412
"fall",557.334074828677,204.032900507766
"fall",386.597516574908,141.18045767683
"fall",419.7414573066,153.32364790669
"fall",288.347431287928,104.929923168962
"fall",218.433558089192,78.7414672977325
"fall",309.21316783605,112.347449546376
"fall",269.607772532568,97.5667226849274
