"season","species","date","plant_number","leaf","ea_kJ_mol","ln_a_unitless","tcrit_C"
"summer","Abies balsamea",20230721,"X22547","L1",394.25016115314,145.965978536768,43.52
"summer","Abies balsamea",20230721,"X22547","L2",375.62985894462,138.758890222152,43.165
"summer","Abies balsamea",20230721,"X22547","L3",290.121679464627,106.35017388342,43.295
"summer","Abies balsamea",20230721,"X23073","L1",284.72940241825,104.702642544602,42.3
"summer","Abies balsamea",20230721,"X23073","L2",320.258795941801,118.425391850098,41.768
"summer","Abies balsamea",20230721,"X23073","L3",254.44682583988,93.7012778891969,40.0466666666667
"summer","Polystichum imbricans subsp. imbricans",20230725,"X21000","L1",327.391194341158,120.374849683006,43.98375
"summer","Polystichum imbricans subsp. imbricans",20230725,"X21000","L2",318.6613545989,117.406711773422,43.4833333333333
"summer","Polystichum imbricans subsp. imbricans",20230725,"X25826","L1",434.28923945413,160.896182041377,44.1588888888889
"summer","Polystichum imbricans subsp. imbricans",20230725,"X25826","L2",330.238144792708,122.340194554444,41.68
"summer","Polystichum imbricans subsp. imbricans",20230725,"X29351","L1",337.547018909661,125.278555073288,41.0025
"summer","Polystichum imbricans subsp. imbricans",20230725,"X29351","L2",353.632448096342,130.771356894195,42.3916666666667
"summer","Rhododendron calendulaceum",20230719,"X26494","L1",387.733002445073,141.232121576676,47.3933333333333
"summer","Rhododendron calendulaceum",20230719,"X26494","L2",413.282063619092,150.77475275687,46.69
"summer","Rhododendron calendulaceum",20230719,"X26494","L3",281.56881496957,102.300020604217,46.385
"summer","Rhododendron calendulaceum",20230719,"X26494","L4",405.881380817722,147.843770249758,47.4266666666667
"summer","Rhododendron calendulaceum",20230719,"X26494","L5",574.477230023054,210.390897592898,48.0033333333333
"summer","Rhododendron calendulaceum",20230719,"X28625","L1",528.621985643555,193.696308173025,46.77
"summer","Rhododendron calendulaceum",20230719,"X28625","L2",480.795587807186,175.835013098743,47.2533333333333
"summer","Rhododendron calendulaceum",20230719,"X28625","L3",391.273789864526,142.842005244864,46.04
"summer","Rhododendron calendulaceum",20230719,"X28625","L4",423.822533084672,154.352807241346,46.77
"summer","Rhododendron calendulaceum",20230719,"X28625","L5",391.01330896702,142.687724709452,47.0333333333333
"summer","Rhododendron calendulaceum",20230719,"X29963","L1",517.29375723551,189.650440544818,47.7833333333333
"summer","Rhododendron calendulaceum",20230719,"X29963","L2",511.899938915499,187.389952171947,48.1033333333333
"summer","Rhododendron calendulaceum",20230719,"X29963","L3",506.236165296086,185.351712164659,47.7733333333333
"summer","Rhododendron calendulaceum",20230719,"X29963","L4",254.1557666532,93.216561862851,42.22
"summer","Rhododendron calendulaceum",20230719,"X29963","L5",432.06098466976,158.612708178971,45.77
