Date,season,Species,PlantNumber,Leaf,ea,ln_a,tcrit,Heat_Stress_Days_Cumulative,Rolling_Max_C_1,Rolling_Max_C_2,Rolling_Max_C_3,Rolling_Max_C_4,Rolling_Max_C_5,Rolling_Max_C_6,Rolling_Max_C_7,Rolling_Max_C_8,Rolling_Max_C_9,Rolling_Max_C_10,Rolling_Max_C_11,Rolling_Max_C_12,Rolling_Max_C_13,Rolling_Max_C_14,Rolling_Max_C_15,Rolling_Max_C_16,Rolling_Max_C_17,Rolling_Max_C_18,Rolling_Max_C_19,Rolling_Max_C_20,Rolling_Max_C_21,Rolling_Max_C_22,Rolling_Max_C_23,Rolling_Max_C_24,Rolling_Max_C_25,Rolling_Max_C_26,Rolling_Max_C_27,Rolling_Max_C_28,Rolling_Max_C_29,Rolling_Max_C_30
20230525,spring,Abies balsamea,X27312,L2,374.0715056,140.1878788,38.84333333,9,17.8,16,15.73333333,16.4,17.36,17.91666667,18.67142857,19.0375,19.36666667,19.92,20.70909091,21.20833333,21.49230769,21.36428571,21.10666667,20.71875,20.41764706,20.11111111,19.72105263,19.355,19.28095238,19.30454545,19.31304348,19.1375,19.036,19.14615385,19.15555556,19.00357143,18.82068966,18.58666667
20230525,spring,Abies balsamea,X27312,L3,558.8235708,210.5480669,40.40666667,9,17.8,16,15.73333333,16.4,17.36,17.91666667,18.67142857,19.0375,19.36666667,19.92,20.70909091,21.20833333,21.49230769,21.36428571,21.10666667,20.71875,20.41764706,20.11111111,19.72105263,19.355,19.28095238,19.30454545,19.31304348,19.1375,19.036,19.14615385,19.15555556,19.00357143,18.82068966,18.58666667
20230525,spring,Abies balsamea,X27312,L4,344.3568248,129.0548934,37.76,9,17.8,16,15.73333333,16.4,17.36,17.91666667,18.67142857,19.0375,19.36666667,19.92,20.70909091,21.20833333,21.49230769,21.36428571,21.10666667,20.71875,20.41764706,20.11111111,19.72105263,19.355,19.28095238,19.30454545,19.31304348,19.1375,19.036,19.14615385,19.15555556,19.00357143,18.82068966,18.58666667
20230525,spring,Abies balsamea,X27312,L5,319.6171802,120.0395582,37.49333333,9,17.8,16,15.73333333,16.4,17.36,17.91666667,18.67142857,19.0375,19.36666667,19.92,20.70909091,21.20833333,21.49230769,21.36428571,21.10666667,20.71875,20.41764706,20.11111111,19.72105263,19.355,19.28095238,19.30454545,19.31304348,19.1375,19.036,19.14615385,19.15555556,19.00357143,18.82068966,18.58666667
20230529,spring,Polystichum imbricans subsp. imbricans,X24660,L1,330.4515668,122.9569273,40.976,9,18.2,18.45,19.3,19.575,19.22,18.38333333,17.92857143,17.9875,18.34444444,18.58,19,19.21666667,19.43076923,19.82142857,20.40666667,20.8,21.04117647,20.96666667,20.78421053,20.49,20.25714286,20.01363636,19.69565217,19.39166667,19.328,19.34615385,19.35185185,19.2,19.11034483,19.20333333
20230529,spring,Polystichum imbricans subsp. imbricans,X21700,L2,392.6356788,146.5248767,40.98333333,9,18.2,18.45,19.3,19.575,19.22,18.38333333,17.92857143,17.9875,18.34444444,18.58,19,19.21666667,19.43076923,19.82142857,20.40666667,20.8,21.04117647,20.96666667,20.78421053,20.49,20.25714286,20.01363636,19.69565217,19.39166667,19.328,19.34615385,19.35185185,19.2,19.11034483,19.20333333
20230529,spring,Polystichum imbricans subsp. imbricans,X21700,L1,332.5802069,123.8422913,40.04,9,18.2,18.45,19.3,19.575,19.22,18.38333333,17.92857143,17.9875,18.34444444,18.58,19,19.21666667,19.43076923,19.82142857,20.40666667,20.8,21.04117647,20.96666667,20.78421053,20.49,20.25714286,20.01363636,19.69565217,19.39166667,19.328,19.34615385,19.35185185,19.2,19.11034483,19.20333333
20230529,spring,Polystichum imbricans subsp. imbricans,X24660,L2,357.0820508,133.2574297,40.56444444,9,18.2,18.45,19.3,19.575,19.22,18.38333333,17.92857143,17.9875,18.34444444,18.58,19,19.21666667,19.43076923,19.82142857,20.40666667,20.8,21.04117647,20.96666667,20.78421053,20.49,20.25714286,20.01363636,19.69565217,19.39166667,19.328,19.34615385,19.35185185,19.2,19.11034483,19.20333333
20230529,spring,Polystichum imbricans subsp. imbricans,X26299,L1,394.0108411,146.3573053,43.05666667,9,18.2,18.45,19.3,19.575,19.22,18.38333333,17.92857143,17.9875,18.34444444,18.58,19,19.21666667,19.43076923,19.82142857,20.40666667,20.8,21.04117647,20.96666667,20.78421053,20.49,20.25714286,20.01363636,19.69565217,19.39166667,19.328,19.34615385,19.35185185,19.2,19.11034483,19.20333333
20230529,spring,Polystichum imbricans subsp. imbricans,X26299,L2,385.2871428,143.3741382,42.91666667,9,18.2,18.45,19.3,19.575,19.22,18.38333333,17.92857143,17.9875,18.34444444,18.58,19,19.21666667,19.43076923,19.82142857,20.40666667,20.8,21.04117647,20.96666667,20.78421053,20.49,20.25714286,20.01363636,19.69565217,19.39166667,19.328,19.34615385,19.35185185,19.2,19.11034483,19.20333333
