"clade","family","genus","species","ea","ln_a","Tcrit"
"angiosperm","Euphorbiaceae","Euphorbia","Euphorbia_characias",278.8441695,102.8456899,43.961
"angiosperm","Eupteleaceae","Euptelea","Euptelea_pleiosperma",418.0703424,152.0458172,50.846
"angiosperm","Fabaceae","Hosackia","Hosackia_gracilis",394.6074687,144.6202095,47.141
"angiosperm","Fagaceae","Quercus","Quercus_garryana",258.4574271,94.3250641,47.05
"angiosperm","Francoaceae","Francoa","Francoa_ramosa",187.7590724,68.29646314,43.287
"angiosperm","Garryaceae","Garrya","Garrya_fremontii",202.6018878,74.48205519,42.606
"angiosperm","Gelsemiaceae","Gelsemium","Gelsemium_sempervirens",388.9652156,142.8754062,46.623
"angiosperm","Gentianaceae","Gentiana","Gentiana_asclepiadea",360.3558413,132.8501651,45.361
"angiosperm","Geraniaceae","Geranium","Geranium_platypetalum",132.8742222,47.4475377,41.504
"angiosperm","Grossulariaceae","Ribes","Ribes_aureum",228.5916858,84.0962639,41.613
"angiosperm","Gunneraceae","Gunnera","Gunnera_monoica",252.5956396,92.71893101,43.757
"angiosperm","Hamamelidaceae","Corylopsis","Corylopsis_pauciflora",313.4331491,113.9985246,47.412
"angiosperm","Helwingiaceae","Helwingia","Helwingia_chinensis",229.5437181,84.04327591,43.843
"angiosperm","Hydrangeaceae","Hydrangea","Hydrangea_macrophylla",354.1077636,129.6541625,47.186
"angiosperm","Hypericaceae","Hypericum","Hypericum_forrestii",239.5084451,88.53648803,40.531
"angiosperm","Iridaceae","Dietes","Dietes_iridioides",192.3485618,69.92489666,42.224
"angiosperm","Iteaceae","Itea","Itea_virginica",287.9515613,105.9819082,45.609
"angiosperm","Juglandaceae","Carya","Carya_tomentosa",304.3628978,110.7905765,47.238
"angiosperm","Juncaceae","Luzula","Luzula_sylvatica",358.8846722,131.3326504,47.083
"angiosperm","Lamiaceae","Callicarpa","Callicarpa_japonica",306.2488016,112.090611,47.242
"angiosperm","Lardizabalaceae","Stauntonia","Stauntonia_chapaensis",247.1678561,89.56378241,46.37
"angiosperm","Lauraceae","Lindera","Lindera_benzoin",308.8044261,113.8472767,45.179
"angiosperm","Liliaceae","Lilium","Lilium_martagon",309.8491977,115.4595663,40.558
"angiosperm","Lythraceae","Lythrum","Lythrum_salicaria",271.1674241,99.93919386,43.763
"angiosperm","Magnoliaceae","Liriodendron","Liriodendron_tulipifera",338.3983242,124.0536116,46.568
"angiosperm","Malvaceae","Alcea","Alcea_rosea",345.9497764,126.8995751,47.104
"angiosperm","Melanthiaceae","Trillium","Trillium_ovatum",388.982328,144.251529,43.848
"angiosperm","Meliaceae","Toona","Toona_sinensis",124.9486117,44.61896033,44.693
"angiosperm","Menispermaceae","Menispermum","Menispermum_canadense",346.587501,126.4680471,48.089
